numodt,elemento,nombre_proceso
J1083,Mapa,Serigrafia
H4218,Mapa,Serigrafia
H4220,Mapa,Serigrafia
B5918E1,Mapa,Serigrafia
B6133,Mapa,Serigrafia
H4229,Mapa,Serigrafia
B6135,Mapa,Serigrafia
F1612E1,Mapa,Serigrafia
H3720E1,Mapa,Serigrafia
H4244,Mapa,Serigrafia
F1660,Mapa,Serigrafia
F1661,Mapa,Serigrafia
H4247,Mapa,Serigrafia
B5918D,Mapa,Serigrafia
J1088,Mapa,Serigrafia
H3924,Maria Luisa,Corte
H4124,Maria Luisa,Corte
L1040,Maria Luisa,Corte
H4167,Maria Luisa,Corte
H4212,Maria Luisa,Corte
I3419,Maria Luisa,Corte
F1661,Maria Luisa,Corte
H4247,Maria Luisa,Corte
B6118,Maria Luisa,Corte
H3924,Maria Luisa,Acabado
L1040,Maria Luisa,Acabado
H4167,Maria Luisa,Encuadernacion
H4212,Maria Luisa,Acabado
H4247,Maria Luisa,Encuadernacion
B6118,Maria Luisa,Encuadernacion
H4124,Maria Luisa,Suaje
I3419,Maria Luisa,Suaje
F1661,Maria Luisa,Suaje
L1040,Maria Luisa Doble,Corte
L1040,Maria Luisa Doble,Acabado
B6022,Mesa,Corte
H4248,Mesa,Corte
B6022,Mesa,Serigrafia
H4248,Mesa,Serigrafia
68247,Mini,Corte
H4016,Mini,Corte
I3406,Mini,Corte
H4191,Mini,Corte
H4249,Mini,Corte
H4252,Mini,Corte
I3428,Mini,Corte
B6134OT,Mini,Corte
68247,Mini,Digital
H4016,Mini,Digital
I3406,Mini,Digital
H4191,Mini,Digital
H4252,Mini,Digital
H4249,Mini,Serigrafia
I3428,Mini,Serigrafia
B6134OT,Mini,Serigrafia
68247,Moño,Acabado
I3015,Paquete,Corte
D2168,Paquete,Corte
K2680V1,Paquete,Corte
I3233,Paquete,Corte
I3248,Paquete,Corte
G0889V2,Paquete,Corte
H3831,Paquete,Corte
I3258,Paquete,Corte
G0899,Paquete,Corte
H3924,Paquete,Corte
H3926,Paquete,Corte
H3960,Paquete,Corte
B5887,Paquete,Corte
H3962,Paquete,Corte
B5894,Paquete,Corte
B5903,Paquete,Corte
G0902,Paquete,Corte
I3322,Paquete,Corte
F1586,Paquete,Corte
D2342,Paquete,Corte
B5991,Paquete,Corte
J1058,Paquete,Corte
J1059,Paquete,Corte
D2353V1,Paquete,Corte
J1066,Paquete,Corte
J1068,Paquete,Corte
J1069,Paquete,Corte
B6040,Paquete,Corte
H4100,Paquete,Corte
F1612,Paquete,Corte
J1070,Paquete,Corte
H4124,Paquete,Corte
L1032,Paquete,Corte
H4131,Paquete,Corte
H4133,Paquete,Corte
B6064,Paquete,Corte
F1627,Paquete,Corte
B6079,Paquete,Corte
B6082,Paquete,Corte
G0913,Paquete,Corte
I3405,Paquete,Corte
B6091,Paquete,Corte
H4167,Paquete,Corte
D2386,Paquete,Corte
I3412,Paquete,Corte
B6098,Paquete,Corte
I3415,Paquete,Corte
B6113,Paquete,Corte
B6118,Paquete,Corte
B6119,Paquete,Corte
B6122,Paquete,Corte
H4212,Paquete,Corte
I3419,Paquete,Corte
J1083,Paquete,Corte
H4218,Paquete,Corte
H4220,Paquete,Corte
B5918E1,Paquete,Corte
H4229,Paquete,Corte
B6135,Paquete,Corte
F1612E1,Paquete,Corte
H3720E1,Paquete,Corte
J1088,Paquete,Corte
H4215,Paquete,Corte
J1088,Paquete,Grabado
B6098,Paquete,Serigrafia
I3015,Paquete,Serigrafia
D2168,Paquete,Serigrafia
K2680V1,Paquete,Serigrafia
I3248,Paquete,Serigrafia
G0889V2,Paquete,Serigrafia
H3831,Paquete,Serigrafia
I3258,Paquete,Serigrafia
G0899,Paquete,Serigrafia
H3924,Paquete,Serigrafia
H3926,Paquete,Serigrafia
H3960,Paquete,Serigrafia
B5887,Paquete,Serigrafia
B5894,Paquete,Serigrafia
B5903,Paquete,Serigrafia
G0902,Paquete,Serigrafia
I3322,Paquete,Serigrafia
F1586,Paquete,Serigrafia
D2342,Paquete,Serigrafia
B5991,Paquete,Serigrafia
J1058,Paquete,Serigrafia
J1059,Paquete,Serigrafia
D2353V1,Paquete,Serigrafia
J1066,Paquete,Serigrafia
J1068,Paquete,Serigrafia
J1069,Paquete,Serigrafia
B6040,Paquete,Serigrafia
H4100,Paquete,Serigrafia
F1612,Paquete,Serigrafia
J1070,Paquete,Serigrafia
H4124,Paquete,Serigrafia
L1032,Paquete,Serigrafia
H4131,Paquete,Serigrafia
H4133,Paquete,Serigrafia
B6064,Paquete,Serigrafia
F1627,Paquete,Serigrafia
B6079,Paquete,Serigrafia
B6082,Paquete,Serigrafia
G0913,Paquete,Serigrafia
I3405,Paquete,Serigrafia
B6091,Paquete,Serigrafia
H4167,Paquete,Serigrafia
D2386,Paquete,Serigrafia
I3412,Paquete,Serigrafia
B6098,Paquete,Serigrafia
B6113,Paquete,Serigrafia
B6118,Paquete,Serigrafia
B6119,Paquete,Serigrafia
B6122,Paquete,Serigrafia
H4212,Paquete,Serigrafia
I3419,Paquete,Serigrafia
J1083,Paquete,Serigrafia
H4218,Paquete,Serigrafia
H4220,Paquete,Serigrafia
B5918E1,Paquete,Serigrafia
H4229,Paquete,Serigrafia
B6135,Paquete,Serigrafia
F1612E1,Paquete,Serigrafia
H3720E1,Paquete,Serigrafia
J1088,Paquete,Serigrafia
H4215,Paquete,Serigrafia
I3430,Rotulacion,Rotulación
B6118,Rotulacion,Serigrafia
I3392,Sobre,Laser
I3412,Sobre,Laser
68118,Sobre,Corte
K2680V1,Sobre,Corte
I3233,Sobre,Corte
I3248,Sobre,Corte
G0889V2,Sobre,Corte
G0899,Sobre,Corte
H3926,Sobre,Corte
68225,Sobre,Corte
H3960,Sobre,Corte
B5887,Sobre,Corte
H3962,Sobre,Corte
B5903,Sobre,Corte
G0902,Sobre,Corte
I3322,Sobre,Corte
H4003,Sobre,Corte
F1586,Sobre,Corte
D2342,Sobre,Corte
J1058,Sobre,Corte
B6022,Sobre,Corte
J1069,Sobre,Corte
H4100,Sobre,Corte
J1070,Sobre,Corte
H4124,Sobre,Corte
H4131,Sobre,Corte
H4133,Sobre,Corte
I3392,Sobre,Corte
B6064,Sobre,Corte
I3401,Sobre,Corte
B6079,Sobre,Corte
G0913,Sobre,Corte
I3405,Sobre,Corte
L1040,Sobre,Corte
D2386,Sobre,Corte
D2386,Sobre,Corte
I3412,Sobre,Corte
B6098,Sobre,Corte
B6100,Sobre,Corte
B6113,Sobre,Corte
B6119,Sobre,Corte
B6121,Sobre,Corte
H4212,Sobre,Corte
I3419,Sobre,Corte
H4215,Sobre,Corte
J1083,Sobre,Corte
B6133,Sobre,Corte
F1655,Sobre,Corte
H4229,Sobre,Corte
B6135,Sobre,Corte
B6136,Sobre,Corte
B6137,Sobre,Corte
F1659,Sobre,Corte
H3720E1,Sobre,Corte
F1660,Sobre,Corte
F1661,Sobre,Corte
I3423,Sobre,Corte
I3426,Sobre,Corte
B6160,Sobre,Corte
J1088,Sobre,Corte
I3392,Sobre,Diseño
I3392,Sobre,Suaje
B6136,Sobre,Suaje
F1659,Sobre,Suaje
B6160,Sobre,Suaje
H3926,Sobre,Grabado
B5903,Sobre,Grabado
I3322,Sobre,Grabado
F1586,Sobre,Grabado
B6022,Sobre,Grabado
J1069,Sobre,Grabado
H4133,Sobre,Grabado
B6064,Sobre,Grabado
I3405,Sobre,Grabado
L1040,Sobre,Grabado
D2386,Sobre,Grabado
B6098,Sobre,Grabado
B6098,Sobre,Grabado
B6119,Sobre,Grabado
H4212,Sobre,Grabado
H4229,Sobre,Grabado
B6135,Sobre,Grabado
J1088,Sobre,Grabado
H4131,Sobre,Hot Stamping
G0889V2,Sobre,Hot Stamping
68225,Sobre,Hot Stamping
G0902,Sobre,Hot Stamping
D2342,Sobre,Hot Stamping
B6022,Sobre,Hot Stamping
H4100,Sobre,Hot Stamping
J1070,Sobre,Hot Stamping
B6079,Sobre,Hot Stamping
G0913,Sobre,Hot Stamping
D2386,Sobre,Hot Stamping
B6119,Sobre,Hot Stamping
J1083,Sobre,Hot Stamping
B6135,Sobre,Hot Stamping
H3720E1,Sobre,Hot Stamping
F1660,Sobre,Hot Stamping
I3233,Sobre,Digital
68225,Sobre,Digital
B6135,Sobre,Acabado
B5887,Sobre,Acabado
I3322,Sobre,Acabado
B6113,Sobre,Acabado
J1058,Sobre,Acabado
B6064,Sobre,Acabado
B6121,Sobre,Acabado
J1058,Sobre,Acabado
H4124,Sobre,Acabado
H4124,Sobre,Acabado
I3392,Sobre,Acabado
B6121,Sobre,Acabado
I3419,Sobre,Acabado
I3419,Sobre,Acabado
F1661,Sobre,Acabado
F1661,Sobre,Acabado
I3248,Sobre,Offset
J1058,Sobre,Acabado
I3392,Sobre,Acabado
I3401,Sobre,Acabado
B6121,Sobre,Acabado
B6136,Sobre,Acabado
F1659,Sobre,Acabado
B6160,Sobre,Acabado
H4256,Sobre,Rotulación
68118,Sobre,Suaje
K2680V1,Sobre,Suaje
I3233,Sobre,Suaje
I3248,Sobre,Suaje
G0889V2,Sobre,Suaje
G0899,Sobre,Suaje
H3926,Sobre,Suaje
68225,Sobre,Suaje
H3960,Sobre,Suaje
B5887,Sobre,Suaje
H3962,Sobre,Suaje
B5903,Sobre,Suaje
G0902,Sobre,Suaje
I3322,Sobre,Suaje
H4003,Sobre,Suaje
F1586,Sobre,Suaje
D2342,Sobre,Suaje
J1058,Sobre,Suaje
B6022,Sobre,Suaje
J1069,Sobre,Suaje
H4100,Sobre,Suaje
J1070,Sobre,Suaje
H4124,Sobre,Suaje
H4131,Sobre,Suaje
H4133,Sobre,Suaje
B6064,Sobre,Suaje
I3401,Sobre,Suaje
B6079,Sobre,Suaje
G0913,Sobre,Suaje
I3405,Sobre,Suaje
L1040,Sobre,Suaje
D2386,Sobre,Suaje
D2386,Sobre,Suaje
I3412,Sobre,Suaje
B6098,Sobre,Suaje
B6100,Sobre,Suaje
B6113,Sobre,Suaje
B6119,Sobre,Suaje
B6121,Sobre,Suaje
H4212,Sobre,Suaje
I3419,Sobre,Suaje
H4215,Sobre,Suaje
J1083,Sobre,Suaje
B6133,Sobre,Suaje
F1655,Sobre,Suaje
H4229,Sobre,Suaje
B6135,Sobre,Suaje
B6136,Sobre,Suaje
B6137,Sobre,Suaje
F1659,Sobre,Suaje
H3720E1,Sobre,Suaje
F1660,Sobre,Suaje
F1661,Sobre,Suaje
I3423,Sobre,Suaje
I3426,Sobre,Suaje
B6160,Sobre,Suaje
J1088,Sobre,Suaje
J1088,Sobre,Suaje
K2680V1,Sobre,Serigrafia
I3248,Sobre,Serigrafia
G0889V2,Sobre,Serigrafia
G0899,Sobre,Serigrafia
H3960,Sobre,Serigrafia
H3962,Sobre,Serigrafia
G0902,Sobre,Serigrafia
F1586,Sobre,Serigrafia
D2342,Sobre,Serigrafia
J1058,Sobre,Serigrafia
B6022,Sobre,Serigrafia
J1070,Sobre,Serigrafia
H4124,Sobre,Serigrafia
H4131,Sobre,Serigrafia
H4133,Sobre,Serigrafia
B6064,Sobre,Serigrafia
I3401,Sobre,Serigrafia
B6079,Sobre,Serigrafia
G0913,Sobre,Serigrafia
B6098,Sobre,Serigrafia
B6121,Sobre,Serigrafia
I3419,Sobre,Serigrafia
H4215,Sobre,Serigrafia
H4229,Sobre,Serigrafia
F1660,Sobre,Serigrafia
F1661,Sobre,Serigrafia
J1088,Sobre,Serigrafia
K2680V1,Sobre,Serigrafia
H3960,Sobre,Serigrafia
H4131,Sobre,Serigrafia
I3401,Sobre,Serigrafia
H4215,Sobre,Serigrafia
B6159,Sticker,Corte
B6159,Sticker,Digital
J1064,Tapa,Corte
J1064,Tapa,Grabado
J1064,Tapa Forro Exterior,Corte
J1064,Tapa Forro Interior,Corte
J1064,Tapa Forro Interior,Serigrafia
B6143,Tarjeta,Corte
G0921,Tarjeta,Corte
D2407,Tarjeta,Corte
B6054,Tarjeta,Corte
B6143,Tarjeta,Acabado
B6143,Tarjeta,Serigrafia
G0921,Tarjeta,Serigrafia
B6143,Tarjeta,Serigrafia
H4191,Tela,Corte
H4191,Tela,Suaje
H4191,Tela,Acabado
H4191,Tela,Acabado
H4191,Tela,Acabado
H4191,Tela,Suaje
H4191,Tela,Serigrafia
D2353V1,Tubo,Acabado
B6082,Tubo,Acabado
