odt,Proceso1,Proceso2,Proceso3,Proceso4,Proceso5,Proceso6,Fecha1,Fecha1F,Fecha2,Fecha2F,Fecha3,Fecha3F,Fecha4,Fecha4F,Fecha5,Fecha5F,Fecha6,Fecha6F
H4196,,,,,,,,,,,,,,,,,,
D2385,Corte,Serigrafia,,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11,2017-09-11
G0924,Corte,Serigrafia,,,,,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15
B6111,,,,,,,,,,,,,,,,,,
B6113,,,,,,,,,,,,,,,,,,
E2567,,,,,,,,,,,,,,,,,,
I3411,,,,,,,,,,,,,,,,,,
I3412,,,,,,,,,,,,,,,,,,
E520D,,,,,,,,,,,,,,,,,,
H4174,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-18,2017-09-18,2017-09-20,2017-09-20,2017-09-20
H4175,Corte,Serigrafia,,,,,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14
H4176,,,,,,,,,,,,,,,,,,
B6094,,,,,,,,,,,,,,,,,,
B5887OT,,,,,,,,,,,,,,,,,,
H4177,,,,,,,,,,,,,,,,,,
H3993R,,,,,,,,,,,,,,,,,,
F1641,Corte,Suaje,Serigrafia,Acabado,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
M0676,,,,,,,,,,,,,,,,,,
M0677,,,,,,,,,,,,,,,,,,
M0678,,,,,,,,,,,,,,,,,,
M0679,,,,,,,,,,,,,,,,,,
I3413,Corte,Digital,Acabado,,,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
H4178,,,,,,,,,,,,,,,,,,
I3414,,,,,,,,,,,,,,,,,,
K2708,,,,,,,,,,,,,,,,,,
B6101,Corte,Serigrafia,Serigrafia,,,,2017-09-07,2017-09-08,2017-09-08,2017-09-12,2017-09-12,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14
B6102,Corte,Suaje,Serigrafia,Grabado,Acabado,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-18,2017-09-18,2017-09-18
H4180,,,,,,,,,,,,,,,,,,
I3415,Corte,Serigrafia,Digital,Acabado,,,2017-09-07,2017-09-08,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-14,2017-09-14,2017-09-14,2017-09-14,2017-09-14
H4181,,,,,,,,,,,,,,,,,,
H4182,,,,,,,,,,,,,,,,,,
H4184,,,,,,,,,,,,,,,,,,
H4185,Corte,Digital,Digital,,,,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
H4186,,,,,,,,,,,,,,,,,,
H4187,,,,,,,,,,,,,,,,,,
H4188,Corte,Laser,Suaje,Serigrafia,Digital,Acabado,2017-09-08,2017-09-11,2017-09-11,2017-09-12,2017-09-12,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-18,2017-09-18,2017-09-19
H4189,,,,,,,,,,,,,,,,,,
H4190,,,,,,,,,,,,,,,,,,
H4191,Corte,Suaje,Serigrafia,Digital,Acabado,,2017-09-08,2017-09-11,2017-09-11,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-20,2017-09-20,2017-09-20
H4192,,,,,,,,,,,,,,,,,,
B6106,,,,,,,,,,,,,,,,,,
B6115,,,,,,,,,,,,,,,,,,
B6116,,,,,,,,,,,,,,,,,,
H4197,,,,,,,,,,,,,,,,,,
K2710,,,,,,,,,,,,,,,,,,
M0684,,,,,,,,,,,,,,,,,,
H4202,,,,,,,,,,,,,,,,,,
I3417,Corte,Serigrafia,Acabado,,,,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19
M0685,,,,,,,,,,,,,,,,,,
H4204,,,,,,,,,,,,,,,,,,
K2711,Corte,Serigrafia,,,,,2017-09-11,2017-09-12,2017-09-12,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13,2017-09-13
G0925,,,,,,,,,,,,,,,,,,
H4208,,,,,,,,,,,,,,,,,,
B6119,Corte,Suaje,Serigrafia,Hot Stamping,Grabado,Acabado,2017-09-12,2017-09-13,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-18,2017-09-18,2017-09-19,2017-09-19,2017-09-20
H4117D,,,,,,,,,,,,,,,,,,
70023,,,,,,,,,,,,,,,,,,
G0926,Corte,Serigrafia,,,,,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15,2017-09-15
H4209,,,,,,,,,,,,,,,,,,
M0687,,,,,,,,,,,,,,,,,,
M0688,,,,,,,,,,,,,,,,,,
B6123,Corte,Suaje,Digital,Digital,,,2017-09-13,2017-09-14,2017-09-14,2017-09-18,2017-09-18,2017-09-19,2017-09-19,2017-09-20,2017-09-20,2017-09-20,2017-09-20,2017-09-20
I3363D,,,,,,,,,,,,,,,,,,
F1650,,,,,,,,,,,,,,,,,,
H3934D,,,,,,,,,,,,,,,,,,
J1083,,,,,,,,,,,,,,,,,,
B6130,,,,,,,,,,,,,,,,,,
M0691,,,,,,,,,,,,,,,,,,
68117D,,,,,,,,,,,,,,,,,,
I3413E1,,,,,,,,,,,,,,,,,,
E2574,,,,,,,,,,,,,,,,,,
H4222,Corte,Serigrafia,Serigrafia,,,,2017-09-13,2017-09-14,2017-09-14,2017-09-15,2017-09-15,2017-09-18,2017-09-18,2017-09-18,2017-09-18,2017-09-18,2017-09-18,2017-09-18
H3643D,,,,,,,,,,,,,,,,,,
G0927,Corte,Serigrafia,Serigrafia,,,,2017-09-14,2017-09-15,2017-09-15,2017-09-18,2017-09-18,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19,2017-09-19
